title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Tough to deal with management .Unwilling to listen what you have to offer . It's all about Sale sale sale’,Personal Banker,High sales environment . As long you know how to play your cards with management you will climb very quickly,"To convince  management not to micro managed .
Target 7000 in rev for week (for example 1 credit card sale is 200 in rev)
1 home loan ref
4 insurance 
1 wealth ref
More than 50 to 100 products knowledge ,deal with customer complaints ,helping teller ,most of time understaff ,staff resigning and one day not turning up for work due to sales pressure .",Recommends working here: No,Rates salary as: Average,4 years ago,"Melbourne, Victoria, Australia",1.0,1.0,1.0,1.0,4.0,1.0,1.0,Westpac Banking Corporation
‘Allows me to be able to move around the company and gain experiences.’,Team Coordinator,Work/life balance. Easily available training for career progression.,In my 16 years working for Westpac on and of Haven't faced any.,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney CBD, New South Wales, Australia",5.0,5.0,5.0,4.0,5.0,5.0,5.0,Westpac Banking Corporation
"‘I learnt alot , made lots of great friends and how to create gials and achieve them’",Specialist Clerk,"The team work, the people and opportunity to build yourself professionaly and personly","Investigations into loan enquiries,",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Adelaide, South Australia, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Westpac Banking Corporation
"‘Its a good place to work with, a good start to gain the experience in banking industry’",FX Settlement,"I like the environment, the job. I start work I this company as a data entry, so it give you a chance to explore and gain more experience to the other job field.",Not much,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",4.0,4.0,4.0,4.0,4.0,4.0,5.0,Westpac Banking Corporation
‘It's a good job’,Personal Banker,"Wonderful colleagues, diverse/multicultural environment,  some great managers","Revolving door management,  no control on work location,  sales targets do not take state economy into account",Recommends working here: Yes,Rates salary as: Average,4 years ago,"SA, Australia",3.0,3.0,2.0,2.0,3.0,4.0,3.0,Westpac Banking Corporation
‘A business surviving on the memories of long past glories. ’,Home Finance Manager,Sadly I cannot think of 1 thing I enjoyed about working for Westpac,"Outdated programmes, narrow minded staff, no team environment/support, management that rewards negative behaviour and a focus on profit over community responsibility.",Recommends working here: No,Rates salary as: Average,1 year ago,"NSW, Australia",3.0,1.0,1.0,1.0,1.0,3.0,1.0,Westpac Banking Corporation
‘Great place to work overall.’,Director,"Smart people, good management generally, great for the cv. Once you have worked at a big bank, it's easier to get jobs at other financial services companies.","Lots of talented, driven people, so you have to be good to get ahead. You can find yourself working hard and doing well, but nobody really noticing.",Recommends working here: Yes,Rates salary as: High,4 years ago,,5.0,3.0,4.0,4.0,4.0,5.0,5.0,Westpac Banking Corporation
‘Whether  I work there or not I will always have a soft spot for this great company’,Business Banking Manager,Great team and culture,"Lots of changes over recent times , mainly for the better, but not without a few challenges.",Recommends working here: Yes,Rates salary as: Average,2 years ago,"Western Australia, Australia",3.0,4.0,5.0,5.0,4.0,5.0,5.0,Westpac Banking Corporation
‘Different’,Mortgage Consultant,Opportunity’s to grow in work performance,Interacting with a lot of different customefs,Recommends working here: No,Rates salary as: Average,2 years ago,"Tasmania, Australia",5.0,3.0,1.0,1.0,4.0,1.0,1.0,Westpac Banking Corporation
‘Overall best employer in my career’,Lending Compliance Advisor,Lots of opportunities,Most opportunities in Sydney,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Brisbane City, Queensland, Australia",5.0,5.0,5.0,5.0,4.0,5.0,5.0,Westpac Banking Corporation
‘Great employer who invests in their workers’,Online Banker- Customer Service Representative,"The environment to work in
staff development days/cultural days to provide incentives to come to work and improve the morale amongst employees",The managerial style of some people in the company,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Epping, New South Wales, Australia",4.0,3.0,4.0,4.0,5.0,5.0,5.0,Westpac Banking Corporation
‘It is great to work with inteligent people with a positive attitude and good work ethic.’,Project Financial Controller,Positive management and good working environment.,"Complex structure due to sie of the business 
Always cost cutting
Off shoring of many roles",Recommends working here: Yes,Rates salary as: Average,4 years ago,"Sydney, New South Wales, Australia",5.0,5.0,5.0,4.0,3.0,5.0,5.0,Westpac Banking Corporation
‘No work-life balance for working mums’,Personal Banker,Noting good about it . It's just the brand name.,Working at Westpac was a challenge in itself,Recommends working here: No,Rates salary as: Low,1 year ago,"Melbourne VIC, Australia",1.0,1.0,2.0,2.0,2.0,1.0,1.0,Westpac Banking Corporation
‘We'll balanced career ’,Change Director,"Bonuses are solid, work life balance encouraged mostly ","Restructures, opportunities past middle management ",Recommends working here: Yes,Rates salary as: High,6 months ago,"Sydney NSW, Australia",5.0,5.0,5.0,4.0,5.0,5.0,5.0,Westpac Banking Corporation
