title,job_title,pros,cons,recommendation,salary,date,location,career_opportunity_rating,work_life_balance_rating,work_env_rating,management_rating,benefits_rating,diversity_rating,overall_rating,company
‘Exciting’,Team Member,Coles was very flexible and welcoming,Work was very demanding ,Recommends working here: Yes,Rates salary as: Average,1 year ago,"Victoria, Australia",5.0,5.0,5.0,5.0,5.0,5.0,5.0,Coles Supermarkets
‘I learnt a lot’,Customer Service Representative,"Good money, having the regular customers come in and greet you like they are part of your family and the challenge and humour in the difficult customers",Having to deal with all the diverse customers and the busy periods,Recommends working here: No,Rates salary as: Average,2 years ago,"Launceston, Tasmania, Australia",1.0,1.0,1.0,1.0,4.0,4.0,1.0,Coles Supermarkets
‘Ever changing and friendly’,Service Supervisor,"Very flexible hours, friendly team members and ability to work at multiple stores as casual",Working with some managers and customers,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,5.0,4.0,2.0,3.0,4.0,5.0,Coles Supermarkets
‘Good while it lasts’,Customer Service Supervisor,"Is having a good team to work with, makes working more enjoyable",Is trying to get more jobs done in the same amount of time. As now we have no casual staff,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Geelong, Victoria, Australia",4.0,4.0,4.0,3.0,3.0,4.0,4.0,Coles Supermarkets
‘A job is a job’,Picker,36hr week  rdo every week,Working with management who dont like change,Recommends working here: No,Rates salary as: Average,4 years ago,"Goulburn, New South Wales, Australia",3.0,3.0,1.0,1.0,1.0,1.0,3.0,Coles Supermarkets
‘You really are just a number’,Deli Manager,You get paid on time,Expectations to high support nonexistent always expect you to work for nothing I would not recommend any one work for this company as it is at the moment,Recommends working here: No,Rates salary as: Average,2 years ago,"Spearwood WA, Australia",2.0,1.0,1.0,1.0,1.0,3.0,1.0,Coles Supermarkets
‘Excellent company to work for.’,Regional Loss Manager,Great team of people across the business,Work life balance can be a challenge when in upper management positions,Recommends working here: Yes,Rates salary as: High,4 years ago,,4.0,3.0,4.0,4.0,3.0,4.0,5.0,Coles Supermarkets
‘A great place to work from in school to out of school’,Supervisor,"The people you work with and the environment is nice and relaxed, most of the time",Some customers are challenging but the nice customers make up for that,Recommends working here: Yes,Rates salary as: High,4 years ago,"Adelaide, South Australia, Australia",4.0,5.0,4.0,4.0,5.0,5.0,4.0,Coles Supermarkets
‘Fun and rewarding’,Dair,Friendly team members and good woring environmet.,Abit of labour work but also fun,Recommends working here: Yes,Rates salary as: Average,4 years ago,"Yarraville, Victoria, Australia",4.0,4.0,4.0,4.0,4.0,4.0,4.0,Coles Supermarkets
‘ITS GOOD PLACE  LEARN MANY THINGS’,Team Member,TEAM WORK AND COLLABORATION,Facing of customer  service,Recommends working here: Yes,Rates salary as: High,3 months ago,"Craigieburn VIC, Australia",5.0,5.0,5.0,5.0,5.0,4.0,5.0,Coles Supermarkets
‘After 33 years I become very unhappy ’,CSM,If late there wasn’t any ,"Long hours
Not enough team members
Not enough REM hours ",Recommends working here: No,Rates salary as: Low,6 months ago,"Boronia VIC, Australia",3.0,1.0,1.0,1.0,2.0,1.0,1.0,Coles Supermarkets
‘Average’,"Online, Delvery",One step above the dole.,"Making enough money, to live on.",Recommends working here: Yes,Rates salary as: Low,2 years ago,"Richmond, Victoria, Australia",2.0,3.0,3.0,2.0,2.0,5.0,2.0,Coles Supermarkets
‘Great flexible company to work for’,Store Team Member,Great team and good job security,Communication within the store,Recommends working here: Yes,Rates salary as: Average,4 years ago,,4.0,3.0,4.0,4.0,3.0,5.0,4.0,Coles Supermarkets
"‘Great team, horrible hours’",Customer Service Representative,Friendly team members,Constant issues with roastering,Recommends working here: No,Rates salary as: Average,4 years ago,,2.0,3.0,2.0,2.0,2.0,1.0,2.0,Coles Supermarkets
‘Great experience’,Checkout Operator,Great people experience staff,Training could of been more intense and in depth but always had people to assist,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Capalaba, Queensland, Australia",4.0,5.0,5.0,5.0,4.0,5.0,4.0,Coles Supermarkets
‘Thoroughly enjoy working for this company.’,CSA,"The people, staff benefits, pay rates, flexibility.","Working over a 7day roster including early mornings, nights, weekends.",Recommends working here: Yes,Rates salary as: High,4 years ago,,3.0,4.0,4.0,4.0,4.0,5.0,5.0,Coles Supermarkets
‘Overall its a great company to work for’,Bakery Manager,Great people to work with and for,Long training system,Recommends working here: Yes,Rates salary as: Average,4 years ago,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,Coles Supermarkets
‘Enjoyed working with different managers  and learning other ways todo things’,Delicatessen Assistant,Loved meeting new people,Got to work in different departments and ended up being a department for 12 years,Recommends working here: Yes,Rates salary as: Average,2 years ago,"Springvale, Victoria, Australia",5.0,4.0,4.0,4.0,4.0,5.0,4.0,Coles Supermarkets
